TIPO,FECHA,DESCRIPCION,COMPRADOR_CODIGO,VENDEDOR_CODIGO
Buena, 30/12/17,El producto no es original pero igual sirve.,https://www.mercadolibre.com.co/perfil/47MIGUEL47,https://perfil.mercadolibre.com.co/ICASER2788
Buena, 22/06/18,"",https://www.mercadolibre.com.co/perfil/4DIOS,https://perfil.mercadolibre.com.co/TECNOSUPERGLOBAL
Buena, 14/09/20,"",https://www.mercadolibre.com.co/perfil/555WIZARD,https://perfil.mercadolibre.com.co/SEENONIMPORTACIONES
Buena, 09/06/20,Muy buenas tardes gracias a esta empresa me siento muy satisfecho con el proceso de compra son totalmente comfiables y 100% seguros recomendables,https://www.mercadolibre.com.co/perfil/55LAFLECHA,https://perfil.mercadolibre.com.co/DIFERO82
Buena, 06/07/20,entrega rápida y justo lo que necesitaba,https://www.mercadolibre.com.co/perfil/610GOMAJOACAMILO13,https://perfil.mercadolibre.com.co/TECNOEVOX+STORE
Buena, 24/12/17,Honesto...hace bien su trabajo,https://www.mercadolibre.com.co/perfil/681215,https://perfil.mercadolibre.com.co/DANIELNIVARDOLINARESCORDOBA
Buena, 09/07/20,Llego el producto a tiempo. Vendedor serio y cumplido. Estoy satisfecho con la compra.,https://www.mercadolibre.com.co/perfil/84ALEJO84,https://perfil.mercadolibre.com.co/MUNDOMOVILMV
Buena, 16/07/20,"",https://www.mercadolibre.com.co/perfil/8505CARLOS,https://perfil.mercadolibre.com.co/CGVMOBILEPHONES
Buena, 27/08/20,"",https://www.mercadolibre.com.co/perfil/8837,https://perfil.mercadolibre.com.co/MEGATIENDAVIRTUAL77
Buena, 08/09/20,Todo muy bien,https://www.mercadolibre.com.co/perfil/8ASEGUROS,https://perfil.mercadolibre.com.co/IMPORTACIONES+AJL
Buena, 29/07/20,Muy buen producto,https://www.mercadolibre.com.co/perfil/8AURS,https://perfil.mercadolibre.com.co/IMPORTACIONES+AJL
Buena, 25/06/20,"",https://www.mercadolibre.com.co/perfil/8GABS3,https://perfil.mercadolibre.com.co/CGVMOBILEPHONES
Buena, 11/05/20,"muy amable, respondió siempre bien",https://www.mercadolibre.com.co/perfil/94TP_JS,https://perfil.mercadolibre.com.co/TIENDAHERATECH.COM
Buena, 29/08/20,ers lo q esperaba,https://www.mercadolibre.com.co/perfil/9KINGENIERIA,https://perfil.mercadolibre.com.co/EVERPRINTBOGOTA
Buena, 02/06/20,super todo era lo que esperaba,https://www.mercadolibre.com.co/perfil/9KINGENIERIA,https://perfil.mercadolibre.com.co/WIKIMARKET
Buena, 08/06/20,Muy buena atención,https://www.mercadolibre.com.co/perfil/@455093086,https://perfil.mercadolibre.com.co/LORENAMENDEZ892
Buena, 23/06/20,"Excelente servicio, me encuentro muy satisfecho con el servicio.",https://www.mercadolibre.com.co/perfil/@481352783,https://perfil.mercadolibre.com.co/ANDRESJULIOMANOSALVA
Buena, 07/09/20,cumplió con el tiempo establecido,https://www.mercadolibre.com.co/perfil/A JOSEWALTER,https://perfil.mercadolibre.com.co/ANDRESJULIOMANOSALVA
Buena, 30/06/20,"se entregó antes de tiempo, muchas gracias , excelente !!!",https://www.mercadolibre.com.co/perfil/A LITTLETECHSTORE,https://perfil.mercadolibre.com.co/NEW+K
Buena, 20/11/19,"",https://www.mercadolibre.com.co/perfil/A.G._COSER_DE_COLOMBIA_S.A.S.,https://perfil.mercadolibre.com.co/TECHNOLOGYEXPRESSMS
Regular, 20/01/20,Recibí la factura pero no me respondía los mensajes para la gestión de la entrega de mi equipo,https://www.mercadolibre.com.co/perfil/A1R9L8E7X,https://perfil.mercadolibre.com.co/TECHNOLOGYEXPRESSMS
Buena, 27/08/20,Excelente vendedor. 100% recomendado.,https://www.mercadolibre.com.co/perfil/AAAA5582045,https://perfil.mercadolibre.com.co/POWERSATCOLTDA
Mala, 06/05/20,NO CUMPLE CON SU VENTA QUE MAL GRACIAS A DIOS MERCADO LIBRE RESPONDE,https://www.mercadolibre.com.co/perfil/AAAANGELICA,https://perfil.mercadolibre.com.co/TIENDA_NEW_TECH
Mala, 22/05/16,.,https://www.mercadolibre.com.co/perfil/AAC-1,https://perfil.mercadolibre.com.co/SCARMAURICIORUEDA
Buena, 04/07/20,"",https://www.mercadolibre.com.co/perfil/AACR,https://perfil.mercadolibre.com.co/WIKIMARKET
Regular, 02/09/20,NO HUBO FACTURA DE COMPRA Y CASI NO LLEGA EL PRODUCTO NO VOLVERE A COMPRAR POR ESTE MEDIO,https://www.mercadolibre.com.co/perfil/AALEMAV,https://perfil.mercadolibre.com.co/FREE-ZONE
Buena, 04/06/20,muy amable y envío antes de lo acordado recomendado un 100%.,https://www.mercadolibre.com.co/perfil/AANDRESZEA,https://perfil.mercadolibre.com.co/POWERSATCOLTDA
Buena, 07/07/20,Todo ok,https://www.mercadolibre.com.co/perfil/AAOA20012005,https://perfil.mercadolibre.com.co/CAMILO+HERNANDEZSOLUCIONES
Buena, 13/01/18,Todo muy ágil,https://www.mercadolibre.com.co/perfil/AARCHILA01,https://perfil.mercadolibre.com.co/TECNOSERVICJYL
Buena, 30/06/20,Muy cumplido. Excelente servicio,https://www.mercadolibre.com.co/perfil/AAREIZAP,https://perfil.mercadolibre.com.co/AFICIONADOS+ALOSRELOJES
Buena, 18/08/20,"",https://www.mercadolibre.com.co/perfil/AARONVILLAMIL,https://perfil.mercadolibre.com.co/BLUESHOP+IMPORTACIONES
Buena, 03/08/20,"",https://www.mercadolibre.com.co/perfil/AARONVILLAMIL,https://perfil.mercadolibre.com.co/CACHARRERIA2020
Buena, 25/08/20,"Muy amable y correcto, resultó que no estaba dañado el puerto, solo me cobraron una fracción por el mantenimiento y limpieza, solo me cobraron el mto",https://www.mercadolibre.com.co/perfil/ABAQUERO_DRC,https://perfil.mercadolibre.com.co/CAMILO+HERNANDEZSOLUCIONES
Buena, 08/03/18,"Excelente vendedor, muy atento, pendiente y cumplido",https://www.mercadolibre.com.co/perfil/ABAUNZASANDRA,https://perfil.mercadolibre.com.co/THE_TECH_FACT
Buena, 06/09/20,muy amable el producto llegó en perfectas condiciones y antes del tiempo estipulado,https://www.mercadolibre.com.co/perfil/ABBYPAND,https://perfil.mercadolibre.com.co/GLOBALMARKTRADINGSERVICES
Buena, 01/09/20,"",https://www.mercadolibre.com.co/perfil/ABCA5781492,https://perfil.mercadolibre.com.co/TECHNOLOGYEXPRESSMS
Buena, 04/12/19,"",https://www.mercadolibre.com.co/perfil/ABDULMM,https://perfil.mercadolibre.com.co/ITG..
Buena, 25/11/15,"Lamentablemente no disponía al momento del color que estaba buscando. De cualquier manera, aprecio la seriedad del vendedor y lo recomiendo 100% a la comunidad.",https://www.mercadolibre.com.co/perfil/ABELARDOGUADARRAMA,https://perfil.mercadolibre.com.co/FABIANTELLEZ0
Buena, 17/06/20,"Vendedor serio y puntual, recomendado al 100%",https://www.mercadolibre.com.co/perfil/ABELBARRIOS,https://perfil.mercadolibre.com.co/ANDRSRICARDOHERRERA
Buena, 16/02/20,"excelente producto, y muy cumplido",https://www.mercadolibre.com.co/perfil/ABELMARTINEZ23,https://perfil.mercadolibre.com.co/KIRA92010
Mala, 20/02/19,"No existe esté vendedor, absténganse de perder el tiempo, deberían de cancelar esta cuenta y sus productos de ser anunciados.",https://www.mercadolibre.com.co/perfil/ABGSAMMYVILORIOGARCIA,https://perfil.mercadolibre.com.co/SUFE8383138
Buena, 24/06/20,Excelente en la gestión y muy amable.,https://www.mercadolibre.com.co/perfil/ABIMARU,https://perfil.mercadolibre.com.co/JC_CHABARRO
Buena, 26/04/18,"",https://www.mercadolibre.com.co/perfil/ABMANDRES,https://perfil.mercadolibre.com.co/BODEGATECNOLOGICA2011
