ID,NOMBRE,VALOR,URL
https://articulo.mercadolibre.com.co/MCO-485695892-apple-iphone-xs-max-a1921-4gb-64gb-_JM?quantity=1,Apple iPhone Xs Max A1921 4gb 64gb,5.199.000,null
https://articulo.mercadolibre.com.co/MCO-485712516-apple-iphone-xs-max-256gb-a1921-4gb-lte-_JM?quantity=1,Apple iPhone Xs Max 256gb A1921 4gb Lte,4.759.000,null
https://articulo.mercadolibre.com.co/MCO-485831366-iphone-xs-max-65-64gb-12mpx-4k-hd-a12-lte-cg-technology-_JM?quantity=1,"iPhone Xs Max 6,5 64gb 12mpx 4k Hd A12 Lte Cg Technology",4.449.900,null
https://articulo.mercadolibre.com.co/MCO-485836654-iphone-xs-max-256gb-12mpx-4k-hd-a12-lte-cg-technology-envios-_JM?quantity=1,iPhone Xs Max 256gb 12mpx 4k Hd A12 Lte Cg Technology Envios,4.999.900,null
https://articulo.mercadolibre.com.co/MCO-486039600-iphone-xs-max-de-64-gb-_JM?quantity=1,iPhone Xs Max De 64 Gb,4.100.000,null
https://articulo.mercadolibre.com.co/MCO-486045162-apple-iphone-xs-max-a1921-4gb-256gb-_JM?quantity=1,Apple iPhone Xs Max A1921 4gb 256gb,5.349.000,null
https://articulo.mercadolibre.com.co/MCO-486216294-iphone-x-max-64gb-y-256-gb-_JM?quantity=1,iPhone X Max 64gb Y 256 Gb,4.000.000,null
https://articulo.mercadolibre.com.co/MCO-486261777-iphone-xs-max-256gb-12mpx-4k-hd-a12-lte-_JM?quantity=1,iPhone Xs Max 256gb 12mpx 4k Hd A12 Lte,5.990.000,null
https://articulo.mercadolibre.com.co/MCO-486264067-iphone-xs-max-64gb-sellado-garantia-1-ano-_JM?quantity=1,iPhone Xs Max / 64gb / Sellado / Garantía 1 Año,4.449.000,null
https://articulo.mercadolibre.com.co/MCO-486426630-celular-libre-iphone-xs-max-64gb-ram-4gb-12mp7mp-garantia-_JM?quantity=1,Celular Libre iPhone Xs Max 64gb Ram 4gb 12mp/7mp Garantía,4.073.900,null
https://articulo.mercadolibre.com.co/MCO-486426948-celular-libre-iphone-xs-max-64gb-ram-12mp-dual7mp-4gb-_JM?quantity=1,Celular Libre iPhone Xs Max 64gb Ram 12mp Dual/7mp 4gb,4.179.900,null
https://articulo.mercadolibre.com.co/MCO-486476582-apple-iphone-xs-max-256-a1921-4g-todo-operador-_JM?quantity=1,Apple iPhone Xs Max 256 A1921 4g Todo Operador,4.900.000,null
https://articulo.mercadolibre.com.co/MCO-488319631-apple-iphone-xs-max-a1921-4gb-64gb-4glte-envio-gratis-_JM?quantity=1,Apple iPhone Xs Max A1921 4gb 64gb 4glte Envio Gratis,4.699.000,null
https://articulo.mercadolibre.com.co/MCO-488319659-apple-iphone-xs-max-a1921-4gb-256gb-4glte-envio-gratis-_JM?quantity=1,Apple iPhone Xs Max A1921 4gb 256gb 4glte Envio Gratis,5.599.000,null
