CODIGO,ES_VENDEDOR,ES_COMPRADOR,FECHA_INICIO,URL,NOMBRE,MUNICIPIO_CODIGO
https://www.mercadolibre.com.co/perfil/ARLEY.DECO.PRIETO,0,1,"",https://www.mercadolibre.com.co/perfil/ARLEY.DECO.PRIETO,ARLEY.DECO.PRIETO,null
https://www.mercadolibre.com.co/perfil/ARLI8546562,0,1,"",https://www.mercadolibre.com.co/perfil/ARLI8546562,ARLI8546562,null
https://www.mercadolibre.com.co/perfil/ARLIPAOLACARDENAS,0,1,"",https://www.mercadolibre.com.co/perfil/ARLIPAOLACARDENAS,ARLIPAOLACARDENAS,null
https://www.mercadolibre.com.co/perfil/ARLU1811623,0,1,"",https://www.mercadolibre.com.co/perfil/ARLU1811623,ARLU1811623,null
https://www.mercadolibre.com.co/perfil/ARLU1875856,0,1,"",https://www.mercadolibre.com.co/perfil/ARLU1875856,ARLU1875856,null
https://www.mercadolibre.com.co/perfil/ARLU5338942,0,1,"",https://www.mercadolibre.com.co/perfil/ARLU5338942,ARLU5338942,null
https://www.mercadolibre.com.co/perfil/ARLU887128,0,1,"",https://www.mercadolibre.com.co/perfil/ARLU887128,ARLU887128,null
https://www.mercadolibre.com.co/perfil/ARLYSILVERA,0,1,"",https://www.mercadolibre.com.co/perfil/ARLYSILVERA,ARLYSILVERA,null
https://www.mercadolibre.com.co/perfil/ARMA2678622,0,1,"",https://www.mercadolibre.com.co/perfil/ARMA2678622,ARMA2678622,null
https://www.mercadolibre.com.co/perfil/ARMA6202851,0,1,"",https://www.mercadolibre.com.co/perfil/ARMA6202851,ARMA6202851,null
https://www.mercadolibre.com.co/perfil/ARMA7927239,0,1,"",https://www.mercadolibre.com.co/perfil/ARMA7927239,ARMA7927239,null
https://www.mercadolibre.com.co/perfil/ARMADORGENERAL25,0,1,"",https://www.mercadolibre.com.co/perfil/ARMADORGENERAL25,ARMADORGENERAL25,null
https://www.mercadolibre.com.co/perfil/ARMANDO411,0,1,"",https://www.mercadolibre.com.co/perfil/ARMANDO411,ARMANDO411,null
https://www.mercadolibre.com.co/perfil/ARMANDODELAESPRIELLAPEREZ,0,1,"",https://www.mercadolibre.com.co/perfil/ARMANDODELAESPRIELLAPEREZ,ARMANDODELAESPRIELLAPEREZ,null
https://www.mercadolibre.com.co/perfil/ARMANDOMORAR,0,1,"",https://www.mercadolibre.com.co/perfil/ARMANDOMORAR,ARMANDOMORAR,null
https://www.mercadolibre.com.co/perfil/ARMANDOORDONEZ,0,1,"",https://www.mercadolibre.com.co/perfil/ARMANDOORDONEZ,ARMANDOORDONEZ,null
https://www.mercadolibre.com.co/perfil/ARMENDEZARMENDEZ,0,1,"",https://www.mercadolibre.com.co/perfil/ARMENDEZARMENDEZ,ARMENDEZARMENDEZ,null
https://www.mercadolibre.com.co/perfil/ARMEROLEONARDO,0,1,"",https://www.mercadolibre.com.co/perfil/ARMEROLEONARDO,ARMEROLEONARDO,null
https://www.mercadolibre.com.co/perfil/ARMI2362256,0,1,"",https://www.mercadolibre.com.co/perfil/ARMI2362256,ARMI2362256,null
https://www.mercadolibre.com.co/perfil/ARML1,0,1,"",https://www.mercadolibre.com.co/perfil/ARML1,ARML1,null
https://www.mercadolibre.com.co/perfil/ARMO9259780,0,1,"",https://www.mercadolibre.com.co/perfil/ARMO9259780,ARMO9259780,null
https://www.mercadolibre.com.co/perfil/ARMONY DEX,0,1,"",https://www.mercadolibre.com.co/perfil/ARMONY DEX,ARMONY DEX,null
https://www.mercadolibre.com.co/perfil/ARMY7077,0,1,"",https://www.mercadolibre.com.co/perfil/ARMY7077,ARMY7077,null
https://www.mercadolibre.com.co/perfil/ARM_LAVE,0,1,"",https://www.mercadolibre.com.co/perfil/ARM_LAVE,ARM_LAVE,null
https://www.mercadolibre.com.co/perfil/ARNA8252280,0,1,"",https://www.mercadolibre.com.co/perfil/ARNA8252280,ARNA8252280,null
https://www.mercadolibre.com.co/perfil/ARNALDOPALMEZANO,0,1,"",https://www.mercadolibre.com.co/perfil/ARNALDOPALMEZANO,ARNALDOPALMEZANO,null
https://www.mercadolibre.com.co/perfil/ARNALDOPEREZZ,0,1,"",https://www.mercadolibre.com.co/perfil/ARNALDOPEREZZ,ARNALDOPEREZZ,null
https://www.mercadolibre.com.co/perfil/ARNI7592703,0,1,"",https://www.mercadolibre.com.co/perfil/ARNI7592703,ARNI7592703,null
https://www.mercadolibre.com.co/perfil/ARNOLC1,0,1,"",https://www.mercadolibre.com.co/perfil/ARNOLC1,ARNOLC1,null
https://www.mercadolibre.com.co/perfil/ARNOVERCARVAJAL,0,1,"",https://www.mercadolibre.com.co/perfil/ARNOVERCARVAJAL,ARNOVERCARVAJAL,null
https://www.mercadolibre.com.co/perfil/ARNU2071830,0,1,"",https://www.mercadolibre.com.co/perfil/ARNU2071830,ARNU2071830,null
https://www.mercadolibre.com.co/perfil/ARNULFOPEREZJULIO,0,1,"",https://www.mercadolibre.com.co/perfil/ARNULFOPEREZJULIO,ARNULFOPEREZJULIO,null
https://www.mercadolibre.com.co/perfil/ARNULFOSALASCAMARGO,0,1,"",https://www.mercadolibre.com.co/perfil/ARNULFOSALASCAMARGO,ARNULFOSALASCAMARGO,null
https://www.mercadolibre.com.co/perfil/AROJAS519,0,1,"",https://www.mercadolibre.com.co/perfil/AROJAS519,AROJAS519,null
https://www.mercadolibre.com.co/perfil/AROLDYLOPEZ,0,1,"",https://www.mercadolibre.com.co/perfil/AROLDYLOPEZ,AROLDYLOPEZ,null
https://www.mercadolibre.com.co/perfil/AROMERO8156,0,1,"",https://www.mercadolibre.com.co/perfil/AROMERO8156,AROMERO8156,null
https://www.mercadolibre.com.co/perfil/AROS8984050,0,1,"",https://www.mercadolibre.com.co/perfil/AROS8984050,AROS8984050,null
https://www.mercadolibre.com.co/perfil/ARPA9384261,0,1,"",https://www.mercadolibre.com.co/perfil/ARPA9384261,ARPA9384261,null
https://www.mercadolibre.com.co/perfil/ARPAGRAFICS,0,1,"",https://www.mercadolibre.com.co/perfil/ARPAGRAFICS,ARPAGRAFICS,null
https://www.mercadolibre.com.co/perfil/ARPO7017877,0,1,"",https://www.mercadolibre.com.co/perfil/ARPO7017877,ARPO7017877,null
https://www.mercadolibre.com.co/perfil/ARPOPEREZ,0,1,"",https://www.mercadolibre.com.co/perfil/ARPOPEREZ,ARPOPEREZ,null
https://www.mercadolibre.com.co/perfil/ARQ.MAURICIONIÑO,0,1,"",https://www.mercadolibre.com.co/perfil/ARQ.MAURICIONIÑO,ARQ.MAURICIONIÑO,null
https://www.mercadolibre.com.co/perfil/ARQCAMILOPARDO,0,1,"",https://www.mercadolibre.com.co/perfil/ARQCAMILOPARDO,ARQCAMILOPARDO,null
https://www.mercadolibre.com.co/perfil/ARQRUBÈND,0,1,"",https://www.mercadolibre.com.co/perfil/ARQRUBÈND,ARQRUBÈND,null
https://www.mercadolibre.com.co/perfil/ARQUIMEDESARCILA,0,1,"",https://www.mercadolibre.com.co/perfil/ARQUIMEDESARCILA,ARQUIMEDESARCILA,null
https://www.mercadolibre.com.co/perfil/ARQWRP,0,1,"",https://www.mercadolibre.com.co/perfil/ARQWRP,ARQWRP,null
